"","D01","D02","D03","D04","D05","D06","D07","D08","D09","B01","B09","B02","B10","B03","B04","B05","B06","B07","B12","B11","B08"
"bin_s18.mtb29",0.230769230769231,0.0384615384615385,0,0,0.266666666666667,0,0.461538461538462,0,0.416666666666667,0.3,0,0.6,0.5,0.545454545454545,0,0,0.111111111111111,0,0,0,0.833333333333333
"bin_s18.mtb8_sub",0.153846153846154,0.0384615384615385,0,0,0.266666666666667,0,0.461538461538462,0,0.25,1,0,0.08,0.666666666666667,0.424242424242424,0,0,0.37037037037037,0,0,0,0.833333333333333
"bin_s18.mxb12_sub",0.230769230769231,0,0,0,0.133333333333333,0,0.461538461538462,0,0.333333333333333,0,0,0,0.166666666666667,0.181818181818182,0.0909090909090909,0,0.148148148148148,0,0,0,0
"bin_s18.mxb2",0.0769230769230769,0.346153846153846,0.4,0,0.266666666666667,0,0.461538461538462,0.727272727272727,0.25,0.3,0,1,1,0.848484848484849,0.272727272727273,0,0.777777777777778,0,0,0,0.833333333333333
"bin_s19.cct18_sub",0.153846153846154,0.0769230769230769,0,0,0.133333333333333,0,0.461538461538462,0,0.25,0.7,0,0.6,1,0.181818181818182,0.0909090909090909,0,0.37037037037037,0,0,0,0.666666666666667
"bin_s19.mtb13",0.307692307692308,0,0,0,0.133333333333333,0,0.461538461538462,0,0.25,0.3,0,0.12,0.333333333333333,0.0909090909090909,0,0,0.111111111111111,0,0,0,0
"bin_s19.mtb52",0,0,0.4,0,0.2,0.28,0.461538461538462,0.272727272727273,0.166666666666667,0.3,0.714285714285714,0.88,1,0.757575757575758,0.0909090909090909,0,0.37037037037037,0,0,0,0.833333333333333
"bin_s19.vmb15",0.230769230769231,0,0,0,0.133333333333333,0,0.461538461538462,0,0.333333333333333,0.3,0,0.56,1,0.636363636363636,0,0,0.37037037037037,0,0,0,0.666666666666667
"bin_s19.vmb3",0,0,0,0,0,0,0,0.272727272727273,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0
"bin_s2.cct8_sub",0.307692307692308,0.115384615384615,0.4,0,0.333333333333333,0.04,0.538461538461538,0.272727272727273,0,0.3,0,0.92,0.166666666666667,0.454545454545455,0.272727272727273,0,0.296296296296296,0,0,0,0.5
"bin_s2.mtb4",0.0769230769230769,0.0769230769230769,0,0,0.133333333333333,0,0.538461538461538,0,0.333333333333333,0.3,0,0.76,0.5,0.606060606060606,0.0909090909090909,0,0.37037037037037,0,0,0,0.833333333333333
"bin_s2.mxb1",0.153846153846154,0.307692307692308,0,0,0,0,0,0,0.166666666666667,0,0,0.48,0.166666666666667,0.151515151515152,0,0,0.037037037037037,0,0,0,0
"bin_s2.mxb45_sub",0,0,0,0,0.133333333333333,0,0,0,0,0,0,0.16,0.5,0.0909090909090909,0,0,0.037037037037037,0,0,0,0.166666666666667
"bin_s21.cct14_sub",0.0769230769230769,0.192307692307692,0.2,0,0.266666666666667,0,0.615384615384615,0.727272727272727,0.25,0.7,0,1,1,0.848484848484849,0.0909090909090909,0,0.888888888888889,0,0,0,0.833333333333333
"bin_s21.cct28",0,0,0,0,0,0,0.153846153846154,0,0.0833333333333333,0.3,0,0.08,0.5,0,0,0,0,0,0,0,0
"bin_s21.cct40",0.307692307692308,0.461538461538462,0,0,0.466666666666667,0.04,0.615384615384615,0.727272727272727,0.166666666666667,1,0,1,0.666666666666667,0.727272727272727,0.181818181818182,0,0.777777777777778,0,0,0,0.833333333333333
"bin_s21.cct50_sub",0,0.0384615384615385,0,0,0.133333333333333,0,0.384615384615385,0.181818181818182,0.25,0,0.714285714285714,0.48,0.833333333333333,0.545454545454545,0.0909090909090909,0,0.333333333333333,0,0,0,0.833333333333333
"bin_s21.cct65_sub",0,0,0.4,0,0.133333333333333,0,0.384615384615385,0,0.166666666666667,0.3,0,0.88,0.833333333333333,0.606060606060606,0.0909090909090909,0,0.592592592592593,0,0,0,0.833333333333333
"bin_s21.mtb27_sub",0,0,0,0,0.266666666666667,0,0,0,0.166666666666667,0.7,0,0.96,1,0.787878787878788,0.181818181818182,0,0.481481481481481,0,0,0,0.833333333333333
"bin_s21.mtb58",0,0,0.6,0,0.133333333333333,0.2,0.307692307692308,0,0.166666666666667,0,0,0.56,0.5,0.181818181818182,0.0909090909090909,0,0.0740740740740741,0,0,0,0
"bin_s21.mtb63",0,0,0,0,0,0,0,0.272727272727273,0,0.3,0,0.96,1,0.727272727272727,0.181818181818182,0,0.518518518518518,0,0,0,0.833333333333333
"bin_s21.mxb1",0,0,0,0,0.133333333333333,0,0.153846153846154,0,0.333333333333333,0.3,0,0,0.5,0,0.0909090909090909,0,0.111111111111111,0,0,0,0.666666666666667
"bin_s21.mxb14",0,0,0.4,0,0,0,0.384615384615385,0,0.166666666666667,0,0,0.88,0.666666666666667,0.606060606060606,0,0,0.62962962962963,0,0,0,0.666666666666667
"bin_s21.mxb20_sub",0,0,0.4,0,0,0.08,0.307692307692308,0,0.166666666666667,0.3,0,0.88,1,0.666666666666667,0.0909090909090909,0,0.592592592592593,0,0,0,0.833333333333333
"bin_s21.mxb8",0,0.0384615384615385,0.2,0,0.133333333333333,0,0.307692307692308,0,0,0.3,0,0.96,1,0.727272727272727,0.181818181818182,0,0.444444444444444,0,0,0,0.833333333333333
"bin_s22.cct46",0.153846153846154,0,0.4,0,0,0,0.307692307692308,0.272727272727273,0.0833333333333333,0,0,0.96,1,0.545454545454545,0,0,0.222222222222222,0,0,0,0.166666666666667
"bin_s23.cct16",0.230769230769231,0.0384615384615385,0.4,0,0.266666666666667,0,0.461538461538462,0.727272727272727,0.333333333333333,0.3,0,1,0.833333333333333,0.848484848484849,0,0,0.777777777777778,0,0,0,0.833333333333333
"bin_s23.cct35",0.153846153846154,0.0769230769230769,0,0,0.133333333333333,0,0.538461538461538,0,0.25,0.7,0,0.12,0.666666666666667,0.363636363636364,0,0,0.148148148148148,0,0,0,0.666666666666667
"bin_s23.cct40",0.384615384615385,0.115384615384615,0,0,0.133333333333333,0,0.461538461538462,0,0.25,0.7,0,0.6,0.5,0.424242424242424,0,0,0.481481481481481,0,0,0,0.666666666666667
"bin_s23.cct42",0,0,0,0,0.266666666666667,0,0,0.272727272727273,0.0833333333333333,0,0,0.96,0.666666666666667,0.303030303030303,0,0,0.222222222222222,0,0,0,0.833333333333333
"bin_s23.cct8",0.230769230769231,0.0384615384615385,0,0,0.266666666666667,0,0.538461538461538,0,0.416666666666667,0.3,0,0.48,0.5,0.636363636363636,0.0909090909090909,0,0.259259259259259,0,0,0,0.833333333333333
"bin_s23.vmb19",0.230769230769231,0.307692307692308,0,0,0.333333333333333,0,0.153846153846154,0,0.416666666666667,0.3,0,0.56,0.333333333333333,0.636363636363636,0,0,0,0,0,0,0.666666666666667
"bin_s23.vmb39",0.230769230769231,0,0,0,0.133333333333333,0,0.461538461538462,0,0.416666666666667,0,0,0.12,0.5,0.272727272727273,0.0909090909090909,0,0.259259259259259,0,0,0,0.833333333333333
"bin_s24.cct14",0,0,0,0,0.133333333333333,0,0,0,0.0833333333333333,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0
"bin_s24.cct31",0.230769230769231,0.769230769230769,0,0,0.333333333333333,0.08,0.538461538461538,0.727272727272727,0.166666666666667,0.7,0,0.92,1,0.575757575757576,0.0909090909090909,0,0.259259259259259,0,0,0,0.833333333333333
"bin_s24.mtb2_sub",0.153846153846154,0.269230769230769,0,0,0.266666666666667,0,0.461538461538462,0,0.5,1,0,0.56,0.833333333333333,0.454545454545455,0.0909090909090909,0,0.259259259259259,0,0,0,0.833333333333333
"bin_s24.vmb3",0.153846153846154,0.0769230769230769,0,0,0.133333333333333,0,0.461538461538462,0,0.416666666666667,0.7,0,0.12,0.666666666666667,0.303030303030303,0,0,0.148148148148148,0,0,0,0.666666666666667
"bin_s27.mtb27",0,0,0,0,0,0,0.384615384615385,0,0.25,0,0,0.72,0.833333333333333,0.454545454545455,0,0,0.296296296296296,0,0,0,0.666666666666667
"bin_s27.mtb32",0,0,0,0,0.266666666666667,0.08,0,0,0.166666666666667,0.3,0,0.96,0.833333333333333,0.787878787878788,0.181818181818182,0,0.37037037037037,0,0,0,0.833333333333333
"bin_s27.mtb39",0,0.0769230769230769,0,0,0.133333333333333,0,0.307692307692308,0.727272727272727,0.0833333333333333,0.3,0,0.88,0.833333333333333,0.515151515151515,0,0,0.296296296296296,0,0,0,0.833333333333333
"bin_s27.mxb11_sub",0.0769230769230769,0,0,0,0.133333333333333,0,0.230769230769231,0,0.333333333333333,0.3,0,0.48,0.833333333333333,0.0909090909090909,0,0,0.111111111111111,0,0,0,0.166666666666667
"bin_s27.vmb3_sub",0,0.0769230769230769,0,0,0.133333333333333,0,0,0.272727272727273,0,0.3,0,0.96,1,0.666666666666667,0,0,0.296296296296296,0,0,0,0.833333333333333
"bin_s27.vmb32",0,0,0.4,0,0,0,0.384615384615385,0.272727272727273,0.166666666666667,0,0,0.88,0.666666666666667,0.636363636363636,0.0909090909090909,0,0.481481481481481,0,0,0,0.666666666666667
"bin_s27.vmb37",0.0769230769230769,0.230769230769231,0,0,0.133333333333333,0,0.153846153846154,0,0,0.3,0,0.12,0.333333333333333,0.121212121212121,0.0909090909090909,0,0,0,0,0,0
"bin_s28.cct16",0,0,0.4,0,0,0,0,0.272727272727273,0,0.3,0,0.96,1,0.818181818181818,0,0,0.777777777777778,0,0,0,0.666666666666667
"bin_s28.cct47",0,0,0,0,0.133333333333333,0,0.153846153846154,0,0.166666666666667,0.3,0,0.12,0.333333333333333,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0
"bin_s28.cct48",0,0,0,0,0.133333333333333,0,0,0.272727272727273,0.25,0,0,0.96,0.666666666666667,0.333333333333333,0,0,0.222222222222222,0,0,0,0.333333333333333
"bin_s28.cct63_sub",0,0,0,0,0,0,0,0.181818181818182,0.166666666666667,0,0,0.48,0.166666666666667,0.151515151515152,0,0,0.0740740740740741,0,0,0,0
"bin_s28.mtb8",0,0,0,0,0,0,0,0.272727272727273,0,0.3,0,0.08,0.333333333333333,0.181818181818182,0,0,0.148148148148148,0,0,0,0.166666666666667
"bin_s28.mxb31",0,0,0,0,0,0,0,0,0,0,0,0.08,0.333333333333333,0,0,0,0,0,0,0,0
"bin_s28.mxb37_sub",0,0.153846153846154,0.2,0,0.133333333333333,0.04,0.153846153846154,0.727272727272727,0,0.3,0,0.48,0.166666666666667,0.424242424242424,0.0909090909090909,0,0.62962962962963,0,0,0,0
"bin_s28.vmb45",0.153846153846154,0.230769230769231,0,0,0.133333333333333,0,0.461538461538462,0,0.25,0.7,0,0.08,0.666666666666667,0.333333333333333,0.0909090909090909,0,0.444444444444444,0,0,0,0.833333333333333
"bin_s28.vmb7",0.153846153846154,0.0384615384615385,0,0,0.133333333333333,0,0,0,0.25,1,0,0.56,0.833333333333333,0.696969696969697,0,0,0.111111111111111,0,0,0,0.833333333333333
"bin_s3.mtb7",0,0,0,0,0.133333333333333,0,0.153846153846154,0,0.0833333333333333,0.3,0,0.12,0.166666666666667,0.151515151515152,0,0,0.111111111111111,0,0,0,0
"bin_s31.cct37_sub",0.0769230769230769,0,0.4,0,0.133333333333333,0.08,0.384615384615385,0.272727272727273,0.166666666666667,0.6,0,0.96,0.833333333333333,0.909090909090909,0.181818181818182,0,0.703703703703704,0,0,0,0.833333333333333
"bin_s31.cct6_sub",0,0,0,0,0.266666666666667,0,0.384615384615385,0.454545454545455,0.166666666666667,0.7,0,0.96,0.833333333333333,0.515151515151515,0,0,0.444444444444444,0,0,0,0.833333333333333
"bin_s31.mxb16_sub",0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.04,0.333333333333333,0.121212121212121,0,0,0.0740740740740741,0,0,0,0
"bin_s31.vmb7",0.307692307692308,0.230769230769231,0,0,0.266666666666667,0,0.461538461538462,0,0.416666666666667,0.3,0,0.52,0.5,0.636363636363636,0.0909090909090909,0,0.111111111111111,0,0,0,0.833333333333333
"bin_s34.cct25",0,0.0769230769230769,0.4,0,0.133333333333333,0.04,0.461538461538462,0.727272727272727,0.25,0.3,0.714285714285714,1,1,0.909090909090909,0.272727272727273,0,0.777777777777778,0,0,0,0.833333333333333
"bin_s34.cct27",0,0,0,0,0.133333333333333,0,0,0,0.0833333333333333,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0
"bin_s34.cct32",0,0,0,0,0,0,0,0,0.416666666666667,0.3,0,0,1,0.121212121212121,0,0,0.148148148148148,0,0,0,0
"bin_s34.cct50",0,0.230769230769231,0.4,0,0.466666666666667,0,0.538461538461538,0.454545454545455,0.166666666666667,0,0,0.96,1,0.848484848484849,0.272727272727273,0,0.37037037037037,0,0,0,0.833333333333333
"bin_s34.cct52",0,0,0.4,0,0.266666666666667,0,0.384615384615385,0.272727272727273,0.166666666666667,0,0,0.96,1,0.696969696969697,0.0909090909090909,0,0.555555555555556,0,0,0,0.833333333333333
"bin_s34.mtb22_sub",0,0,0,0,0,0,0,0,0,0,0,0.08,0.166666666666667,0,0,0,0,0,0,0,0
"bin_s34.mxb8",0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0
"bin_s35.cct57_sub",0.307692307692308,0,0,0,0.133333333333333,0,0.307692307692308,0,0.333333333333333,1,0,0.08,0.166666666666667,0.303030303030303,0.0909090909090909,0,0.111111111111111,0,0,0,0.833333333333333
"bin_s35.cct60",0.230769230769231,0.692307692307692,0.2,0,0.533333333333333,0.04,0.615384615384615,0.727272727272727,0.166666666666667,1,0,1,0.666666666666667,0.878787878787879,0.0909090909090909,0,0.777777777777778,0,0,0,0.833333333333333
"bin_s35.mxb6_sub",0.153846153846154,0.0384615384615385,0,0,0.133333333333333,0,0.461538461538462,0,0.25,0.6,0,0,0.5,0.0909090909090909,0.0909090909090909,0,0.111111111111111,0,0,0,0.666666666666667
"bin_s36.mtb18",0.0769230769230769,0.0769230769230769,0,0,0.133333333333333,0,0.153846153846154,0,0.416666666666667,0.3,0,0.08,1,0.121212121212121,0,0,0.111111111111111,0,0,0,0.5
"bin_s36.mtb42",0.230769230769231,0.230769230769231,0,0,0.133333333333333,0,0.461538461538462,0,0.25,0.3,0,0.56,1,0.606060606060606,0,0,0.37037037037037,0,0,0,0.666666666666667
"bin_s36.mxb13",0.0769230769230769,0.115384615384615,0.2,0,0.266666666666667,0,0.538461538461538,0.727272727272727,0.25,0.7,0,1,1,0.848484848484849,0.0909090909090909,0,0.888888888888889,0,0,0,0.833333333333333
"bin_s36.vmb0",0,0,0,0,0.133333333333333,0,0,0.272727272727273,0.25,0,0,1,1,0.545454545454545,0,0,0.37037037037037,0,0,0,0.833333333333333
