"","individual_id","beta.dissimilarity","sample_id","treatment","cage","sex","species","beta"
"141","S28",0.337912790821257,"COLD_S28","Cold","1","MALE","CR",0.662087209178743
"142","S28",0.337912790821257,"DIET_S28","Diet","1","MALE","CR",0.662087209178743
"143","S28",0.337912790821257,"HEAT_S28","Heat","1","MALE","CR",0.662087209178743
"144","S28",0.337912790821257,"POST_S28","Acc","1","MALE","CR",0.662087209178743
"145","S28",0.337912790821257,"PRE_S28","Day1","1","MALE","CR",0.662087209178743
"146","S31",0.340531398721757,"COLD_S31","Cold","6","MALE","CR",0.659468601278243
"147","S31",0.340531398721757,"DIET_S31","Diet","6","MALE","CR",0.659468601278243
"148","S31",0.340531398721757,"HEAT_S31","Heat","6","MALE","CR",0.659468601278243
"149","S31",0.340531398721757,"POST_S31","Acc","6","MALE","CR",0.659468601278243
"150","S31",0.340531398721757,"PRE_S31","Day1","6","MALE","CR",0.659468601278243
"151","S35",0.381794826441641,"COLD_S35","Cold","4","FEMALE","CR",0.618205173558359
"152","S35",0.381794826441641,"DIET_S35","Diet","4","FEMALE","CR",0.618205173558359
"153","S35",0.381794826441641,"HEAT_S35","Heat","4","FEMALE","CR",0.618205173558359
"154","S35",0.381794826441641,"POST_S35","Acc","4","FEMALE","CR",0.618205173558359
"155","S35",0.381794826441641,"PRE_S35","Day1","4","FEMALE","CR",0.618205173558359
"156","S36",0.343248457726178,"COLD_S36","Cold","6","MALE","CR",0.656751542273822
"157","S36",0.343248457726178,"DIET_S36","Diet","6","MALE","CR",0.656751542273822
"158","S36",0.343248457726178,"HEAT_S36","Heat","6","MALE","CR",0.656751542273822
"159","S36",0.343248457726178,"POST_S36","Acc","6","MALE","CR",0.656751542273822
"160","S36",0.343248457726178,"PRE_S36","Day1","6","MALE","CR",0.656751542273822
"161","S5",0.265352372993369,"COLD_S5","Cold","2","FEMALE","CR",0.734647627006631
"162","S5",0.265352372993369,"DIET_S5","Diet","2","FEMALE","CR",0.734647627006631
"163","S5",0.265352372993369,"HEAT_S5","Heat","2","FEMALE","CR",0.734647627006631
"164","S5",0.265352372993369,"POST_S5","Acc","2","FEMALE","CR",0.734647627006631
"165","S5",0.265352372993369,"PRE_S5","Day1","2","FEMALE","CR",0.734647627006631
"166","S6",0.304974660674892,"COLD_S6","Cold","4","FEMALE","CR",0.695025339325108
"167","S6",0.304974660674892,"DIET_S6","Diet","4","FEMALE","CR",0.695025339325108
"168","S6",0.304974660674892,"HEAT_S6","Heat","4","FEMALE","CR",0.695025339325108
"169","S6",0.304974660674892,"POST_S6","Acc","4","FEMALE","CR",0.695025339325108
"170","S6",0.304974660674892,"PRE_S6","Day1","4","FEMALE","CR",0.695025339325108
"171","S9",0.284201974981418,"COLD_S9","Cold","1","MALE","CR",0.715798025018582
"172","S9",0.284201974981418,"DIET_S9","Diet","1","MALE","CR",0.715798025018582
"173","S9",0.284201974981418,"HEAT_S9","Heat","1","MALE","CR",0.715798025018582
"174","S9",0.284201974981418,"POST_S9","Acc","1","MALE","CR",0.715798025018582
"175","S9",0.284201974981418,"PRE_S9","Day1","1","MALE","CR",0.715798025018582
