"","Treatment_pair","q","raoQ_gamma","FD_gamma","FD_alpha","FD_beta","local_similarity","region_similarity","individual_id","Species","treatmentWspecies","beta"
"45","Day_Acc1",1,5.5779437915397,34191.0328233697,17044.0687381988,2.00603701783609,0.497825885719917,0.497825885719917,"M24","AS","Day_Acc_AS",0.502174114280083
"46","Acc_Heat",1,5.50341069024159,52514.7880022293,19773.5389155507,2.65581129541408,0.295423679075124,0.295423679075124,"M24","AS","Acc_Heat_AS",0.704576320924876
"47","Heat_Cold",1,5.35806598769918,66869.976922851,27457.3207058185,2.43541522639099,0.357916117134672,0.357916117134672,"M24","AS","Heat_Cold_AS",0.642083882865328
"48","Cold_Diet",1,5.69341469510568,36473.6635303731,18144.135789403,2.01021773391243,0.496324113321989,0.496324113321989,"M24","AS","Cold_Diet_AS",0.503675886678011
"49","Day_Acc1",1,4.87208434671807,37917.4003335003,16922.5847033627,2.24063882664246,0.418044941752821,0.418044941752821,"M25","AS","Day_Acc_AS",0.581955058247179
"50","Acc_Heat",1,4.77618930564872,23469.8187796669,16476.1639214032,1.4244710656938,0.744786841258981,0.744786841258981,"M25","AS","Acc_Heat_AS",0.255213158741019
"51","Heat_Cold",1,5.30235732829983,27626.0762277197,17522.9962460837,1.57656121360489,0.671609406473765,0.671609406473765,"M25","AS","Heat_Cold_AS",0.328390593526235
"52","Cold_Diet",1,5.63210132713051,43569.5055319817,26095.0911680774,1.66964373687574,0.630229851007915,0.630229851007915,"M25","AS","Cold_Diet_AS",0.369770148992085
"53","Day_Acc1",1,5.9266760035938,43988.8005905216,30220.834143144,1.4555786376433,0.729203608413465,0.729203608413465,"M3","AS","Day_Acc_AS",0.270796391586535
"54","Acc_Heat",1,5.50962296056729,42773.5333660451,25762.5930099654,1.66029612584027,0.634279710183738,0.634279710183738,"M3","AS","Acc_Heat_AS",0.365720289816262
"55","Heat_Cold",1,5.34603509279279,26108.4274034613,19463.1714935804,1.34142718785953,0.788115626098042,0.788115626098042,"M3","AS","Heat_Cold_AS",0.211884373901958
"56","Cold_Diet",1,5.62155593157727,44575.9362639848,27178.5476712706,1.64011472589112,0.643101632613326,0.643101632613326,"M3","AS","Cold_Diet_AS",0.356898367386674
"57","Day_Acc1",1,5.45331248589409,39101.4757815074,28723.6900119853,1.36129709536595,0.777509019394625,0.777509019394625,"M4","AS","Day_Acc_AS",0.222490980605375
"58","Acc_Heat",1,5.6063978031411,69209.9302335966,47951.6984644778,1.44332593943188,0.735301433209849,0.735301433209849,"M4","AS","Acc_Heat_AS",0.264698566790151
"59","Heat_Cold",1,5.63791850194032,71292.2054636438,49204.6163083103,1.44889262049998,0.732524660665949,0.732524660665949,"M4","AS","Heat_Cold_AS",0.267475339334051
"60","Cold_Diet",1,5.58172789660792,55179.4195035599,22574.1601265313,2.4443620136595,0.355271016866338,0.355271016866338,"M4","AS","Cold_Diet_AS",0.644728983133662
"61","Day_Acc1",1,5.44760924158777,41806.0454586561,24661.2994453463,1.69520854127356,0.619268619084756,0.619268619084756,"M6","AS","Day_Acc_AS",0.380731380915244
"62","Acc_Heat",1,5.43494086312658,48790.2431631983,32188.6081495087,1.51576119528309,0.699978760949576,0.699978760949576,"M6","AS","Acc_Heat_AS",0.300021239050424
"63","Heat_Cold",1,5.4573927305188,66831.5384137603,43468.2314711869,1.53748004351315,0.689716157802178,0.689716157802178,"M6","AS","Heat_Cold_AS",0.310283842197822
"64","Cold_Diet",1,5.5442643585637,80586.6247348324,58656.6001995871,1.37387138805565,0.770876522120996,0.770876522120996,"M6","AS","Cold_Diet_AS",0.229123477879004
"65","Day_Acc1",1,6.05506734717341,28521.8261616884,9310.26729241392,3.06348091476689,0.192414068263863,0.192414068263863,"M9","AS","Day_Acc_AS",0.807585931736137
"66","Acc_Heat",1,5.5507165988351,66284.076960546,52041.8327881095,1.27366915055479,0.825504714751709,0.825504714751709,"M9","AS","Acc_Heat_AS",0.174495285248291
"67","Heat_Cold",1,5.42315906677372,64035.8183849441,43873.2828596288,1.45956295520043,0.727231780089792,0.727231780089792,"M9","AS","Heat_Cold_AS",0.272768219910208
"68","Cold_Diet",1,5.24160326547279,65642.4658228982,32297.5228853888,2.03243035250219,0.48839704262508,0.48839704262508,"M9","AS","Cold_Diet_AS",0.51160295737492
"69","Day_Acc",1,6.23424955156216,1495.50224785853,534.093202284942,2.80007729261581,0.257266674248009,0.257266674248009,"S10","CR","Day_Acc_CR",0.742733325751991
"70","Acc_Heat",1,5.72849463021278,1923.32774317255,902.166274332905,2.13189940467984,0.453930317488386,0.453930317488386,"S10","CR","Acc_Heat_CR",0.546069682511614
"71","Heat_Cold",1,5.5009309555536,1684.2930906706,810.517948610099,2.07804539499572,0.472386414837581,0.472386414837581,"S10","CR","Heat_Cold_CR",0.527613585162419
"72","Cold_Diet",1,5.50356038992446,1049.84515469267,516.292721185298,2.03343009036123,0.488042304212198,0.488042304212198,"S10","CR","Cold_Diet_CR",0.511957695787802
"73","Day_Acc",1,5.50281864480665,1967.79267353348,610.011285499773,3.22582994824645,0.155164806061323,0.155164806061323,"S11","CR","Day_Acc_CR",0.844835193938677
"74","Acc_Heat",1,5.20526691348912,875.296484820652,345.157152872639,2.53593610196348,0.328740802841348,0.328740802841348,"S11","CR","Acc_Heat_CR",0.671259197158652
"75","Heat_Cold",1,5.59805901356368,777.719078368045,369.610145227386,2.10416052808721,0.463377613407112,0.463377613407112,"S11","CR","Heat_Cold_CR",0.536622386592888
"76","Cold_Diet",1,5.7033467128013,1192.77776754142,509.261922858645,2.34216954773682,0.386077242433662,0.386077242433662,"S11","CR","Cold_Diet_CR",0.613922757566338
"77","Day_Acc",1,5.62404331355091,1154.32471472646,603.690463214022,1.91211355001516,0.532415900166105,0.532415900166105,"S12","CR","Day_Acc_CR",0.467584099833895
"78","Acc_Heat",1,5.21690661440855,1050.48866822134,448.600945600594,2.34169962975654,0.386221983526199,0.386221983526199,"S12","CR","Acc_Heat_CR",0.613778016473801
"79","Heat_Cold",1,5.26399597831793,1003.72725914343,430.350365841058,2.33234903189123,0.38910814927726,0.38910814927726,"S12","CR","Heat_Cold_CR",0.61089185072274
"80","Cold_Diet",1,5.88335603603462,1438.9938445612,837.191377209769,1.71883500443727,0.609284468343821,0.609284468343821,"S12","CR","Cold_Diet_CR",0.390715531656179
"81","Day_Acc",1,5.52357213284653,2394.22240291366,1266.623994747,1.89023926030384,0.54071557118766,0.54071557118766,"S13","CR","Day_Acc_CR",0.45928442881234
"82","Acc_Heat",1,5.83801983254844,2132.98313554843,1480.60072088392,1.44062008444453,0.736655038542536,0.736655038542536,"S13","CR","Acc_Heat_CR",0.263344961457464
"83","Heat_Cold",1,5.70789311998922,1778.19942639363,943.286756524638,1.8851101365454,0.542675592681106,0.542675592681106,"S13","CR","Heat_Cold_CR",0.457324407318894
"84","Cold_Diet",1,5.82374957778597,1077.06264491873,503.518972866316,2.13907062684745,0.451507941235567,0.451507941235567,"S13","CR","Cold_Diet_CR",0.548492058764433
"85","Day_Acc",1,5.56981797993489,593.216689078614,182.182697415535,3.2561637163905,0.148413380712843,0.148413380712843,"S14","CR","Day_Acc_CR",0.851586619287157
"86","Acc_Heat",1,4.54270223575775,738.753264362502,280.638215883677,2.63240436458844,0.301809440498007,0.301809440498007,"S14","CR","Acc_Heat_CR",0.698190559501993
"87","Heat_Cold",1,5.97046612985006,1047.78412041035,475.813021282181,2.20209215289417,0.430562578050773,0.430562578050773,"S14","CR","Heat_Cold_CR",0.569437421949227
"88","Cold_Diet",1,5.76806903419296,1726.1625557571,964.857372384908,1.78903390818315,0.580409634224573,0.580409634224573,"S14","CR","Cold_Diet_CR",0.419590365775427
"89","Day_Acc",1,5.62561187324856,624.020714567383,244.786266241915,2.54924724392291,0.324964348572316,0.324964348572316,"S16","CR","Day_Acc_CR",0.675035651427684
"90","Acc_Heat",1,5.5490298341832,815.465355068311,308.180468800635,2.64606436041164,0.298075923591278,0.298075923591278,"S16","CR","Acc_Heat_CR",0.701924076408722
"91","Heat_Cold",1,5.21894847877514,890.030864939547,384.524498365037,2.31462720509064,0.394610074461606,0.394610074461606,"S16","CR","Heat_Cold_CR",0.605389925538394
"92","Cold_Diet",1,5.53042544081961,1175.02313291217,896.152015202551,1.31118729074842,0.804563112164857,0.804563112164857,"S16","CR","Cold_Diet_CR",0.195436887835143
"93","Day_Acc",1,6.13553824856053,1083.27048116664,503.712758630372,2.1505718539116,0.447639832626532,0.447639832626532,"S18","CR","Day_Acc_CR",0.552360167373468
"94","Acc_Heat",1,5.29914708271679,1001.23336593388,713.814701050361,1.40265164679375,0.755921622336888,0.755921622336888,"S18","CR","Acc_Heat_CR",0.244078377663112
"95","Heat_Cold",1,5.5371552899592,984.794263712529,489.812117721802,2.01055512528553,0.49620305379463,0.49620305379463,"S18","CR","Heat_Cold_CR",0.50379694620537
"96","Cold_Diet",1,5.05389701461002,677.915181637506,315.734778568601,2.14710328938379,0.448804202143292,0.448804202143292,"S18","CR","Cold_Diet_CR",0.551195797856708
