"","individual_id","beta.dissimilarity","sample_id","treatment","cage","sex","species","beta"
"148","S31",0.459591027696294,"HEAT_S31","Heat","6","MALE","CR",0.540408972303706
"149","S31",0.459591027696294,"POST_S31","Acc","6","MALE","CR",0.540408972303706
"150","S31",0.459591027696294,"PRE_S31","Day1","6","MALE","CR",0.540408972303706
"151","S35",0.536711051531926,"COLD_S35","Cold","4","FEMALE","CR",0.463288948468074
"152","S35",0.536711051531926,"DIET_S35","Diet","4","FEMALE","CR",0.463288948468074
"153","S35",0.536711051531926,"HEAT_S35","Heat","4","FEMALE","CR",0.463288948468074
"154","S35",0.536711051531926,"POST_S35","Acc","4","FEMALE","CR",0.463288948468074
"155","S35",0.536711051531926,"PRE_S35","Day1","4","FEMALE","CR",0.463288948468074
"156","S36",0.457882435560025,"COLD_S36","Cold","6","MALE","CR",0.542117564439975
"157","S36",0.457882435560025,"DIET_S36","Diet","6","MALE","CR",0.542117564439975
"158","S36",0.457882435560025,"HEAT_S36","Heat","6","MALE","CR",0.542117564439975
"159","S36",0.457882435560025,"POST_S36","Acc","6","MALE","CR",0.542117564439975
"160","S36",0.457882435560025,"PRE_S36","Day1","6","MALE","CR",0.542117564439975
"161","S5",0.395450458198091,"COLD_S5","Cold","2","FEMALE","CR",0.604549541801909
"162","S5",0.395450458198091,"DIET_S5","Diet","2","FEMALE","CR",0.604549541801909
"163","S5",0.395450458198091,"HEAT_S5","Heat","2","FEMALE","CR",0.604549541801909
"164","S5",0.395450458198091,"POST_S5","Acc","2","FEMALE","CR",0.604549541801909
"165","S5",0.395450458198091,"PRE_S5","Day1","2","FEMALE","CR",0.604549541801909
"166","S6",0.418602585803157,"COLD_S6","Cold","4","FEMALE","CR",0.581397414196843
"167","S6",0.418602585803157,"DIET_S6","Diet","4","FEMALE","CR",0.581397414196843
"168","S6",0.418602585803157,"HEAT_S6","Heat","4","FEMALE","CR",0.581397414196843
"169","S6",0.418602585803157,"POST_S6","Acc","4","FEMALE","CR",0.581397414196843
"170","S6",0.418602585803157,"PRE_S6","Day1","4","FEMALE","CR",0.581397414196843
"171","S9",0.366138396938406,"COLD_S9","Cold","1","MALE","CR",0.633861603061594
"172","S9",0.366138396938406,"DIET_S9","Diet","1","MALE","CR",0.633861603061594
"173","S9",0.366138396938406,"HEAT_S9","Heat","1","MALE","CR",0.633861603061594
"174","S9",0.366138396938406,"POST_S9","Acc","1","MALE","CR",0.633861603061594
"175","S9",0.366138396938406,"PRE_S9","Day1","1","MALE","CR",0.633861603061594
