"","Treatment_pair","q","TD_gamma","TD_alpha","TD_beta","M_homog","local_similarity","region_similarity","individual_id","Species","treatmentWspecies","beta"
"21","Day_Acc",1,1.96100324923968,1.71829948056413,1.14124648899729,0.87623489722944,0.978047847435435,0.978047847435435,"M15","AS","Day_Acc_AS",0.0219521525645646
"22","Acc_Heat",1,1.9605345367782,1.73687766450059,1.12876950222163,0.885920462974782,0.979874349536735,0.979874349536735,"M15","AS","Acc_Heat_AS",0.0201256504632651
"23","Heat_Cold",1,1.99881198655754,1.80614810310844,1.10667114347795,0.903610802444247,0.983152611065003,0.983152611065003,"M15","AS","Heat_Cold_AS",0.0168473889349966
"24","Cold_Diet",1,1.99991260267524,1.76722774643224,1.13166659289543,0.88365248764784,0.979440130323887,0.979440130323887,"M15","AS","Cold_Diet_AS",0.0205598696761131
"25","Day_Acc",1,1.97421064783133,1.68778604515499,1.16970433159971,0.854916899070026,0.973923799376841,0.973923799376841,"M16","AS","Day_Acc_AS",0.0260762006231586
"26","Acc_Heat",1,1.9851613036456,1.58900673355518,1.24930956032143,0.800442125603135,0.963031027442706,0.963031027442706,"M16","AS","Acc_Heat_AS",0.0369689725572943
"27","Heat_Cold",1,1.99788546828581,1.73821678480878,1.14938797378233,0.870028243561019,0.976876089674648,0.976876089674648,"M16","AS","Heat_Cold_AS",0.0231239103253517
"28","Cold_Diet",1,1.99303342241379,1.79597449233718,1.10972256617084,0.901126128713912,0.982708912147208,0.982708912147208,"M16","AS","Cold_Diet_AS",0.0172910878527915
"29","Day_Acc",1,1.98276361731261,1.67089104368477,1.18665045504109,0.842708141855785,0.971577158119014,0.971577158119014,"M18","AS","Day_Acc_AS",0.0284228418809858
"30","Acc_Heat",1,1.99995989313606,1.73230575706329,1.1545074447634,0.866170248217791,0.976137976897019,0.976137976897019,"M18","AS","Acc_Heat_AS",0.0238620231029808
"31","Heat_Cold",1,1.99399207835568,1.78102658404479,1.11957457357388,0.893196419071779,0.981240935041966,0.981240935041966,"M18","AS","Heat_Cold_AS",0.0187590649580336
"32","Cold_Diet",1,1.97393050628471,1.68528363670885,1.17127494938452,0.853770500705647,0.973743191701298,0.973743191701298,"M18","AS","Cold_Diet_AS",0.0262568082987017
"33","Day_Acc",1,1.95539618825202,1.74221735160768,1.12236064372084,0.890979210287351,0.980820404257203,0.980820404257203,"M19","AS","Day_Acc_AS",0.0191795957427966
"34","Acc_Heat",1,1.92743577599673,1.65463152843397,1.16487311094631,0.858462600435188,0.97465345098528,0.97465345098528,"M19","AS","Acc_Heat_AS",0.0253465490147196
"35","Heat_Cold",1,1.94471461401632,1.70213349458106,1.14251591911419,0.87526132745294,0.977863136364257,0.977863136364257,"M19","AS","Heat_Cold_AS",0.0221368636357426
"36","Cold_Diet",1,1.98592485864796,1.65391704846185,1.20074030344803,0.832819550679202,0.96960447739237,0.96960447739237,"M19","AS","Cold_Diet_AS",0.0303955226076303
"37","Day_Acc",1,1.96779332800498,1.76533024980109,1.11468849991479,0.897111614658663,0.981967352174713,0.981967352174713,"M2","AS","Day_Acc_AS",0.0180326478252866
"38","Acc_Heat",1,1.99975689711973,1.74206756624308,1.14792154786073,0.871139671403157,0.977078870004116,0.977078870004116,"M2","AS","Acc_Heat_AS",0.0229211299958838
"39","Heat_Cold",1,1.96549615934588,1.7108197166513,1.14886223265715,0.870426384969718,0.976942769717089,0.976942769717089,"M2","AS","Heat_Cold_AS",0.0230572302829105
"40","Cold_Diet",1,1.89470228027988,1.58163122785977,1.19794187602362,0.834765041622338,0.969992160199207,0.969992160199207,"M2","AS","Cold_Diet_AS",0.0300078398007935
"41","Day_Acc1",1,1.99923229016158,1.62240777947759,1.23226251467145,0.811515393914764,0.965312886134877,0.965312886134877,"M22","AS","Day_Acc_AS",0.0346871138651234
"42","Acc_Heat",1,1.99958651363658,1.81017507043436,1.10463708527196,0.905274694587862,0.983471771220167,0.983471771220167,"M22","AS","Acc_Heat_AS",0.0165282287798326
"43","Heat_Cold",1,1.99782208693018,1.64528934127164,1.21426793258508,0.823541471502981,0.967743064922103,0.967743064922103,"M22","AS","Heat_Cold_AS",0.0322569350778965
"44","Cold_Diet",1,1.99899999068652,1.62355153324726,1.23125133372781,0.812181861336416,0.96540724139133,0.96540724139133,"M22","AS","Cold_Diet_AS",0.0345927586086697
"45","Day_Acc1",1,1.99999688864562,1.66902842034905,1.19830007941228,0.834515508411265,0.969954617100653,0.969954617100653,"M24","AS","Day_Acc_AS",0.0300453828993473
"46","Acc_Heat",1,1.98799176361724,1.52745931846014,1.30150226561933,0.768342880697284,0.956233488738264,0.956233488738264,"M24","AS","Acc_Heat_AS",0.0437665112617364
"47","Heat_Cold",1,1.98537677916123,1.538943930567,1.29009039233142,0.775139483205378,0.957696180081922,0.957696180081922,"M24","AS","Heat_Cold_AS",0.0423038199180783
"48","Cold_Diet",1,1.93803308801867,1.46484675116788,1.3230278774715,0.755841972061197,0.953509073113279,0.953509073113279,"M24","AS","Cold_Diet_AS",0.0464909268867214
"49","Day_Acc1",1,1.973837409162,1.58220886954598,1.2475201265484,0.801590273951548,0.963269087464506,0.963269087464506,"M25","AS","Day_Acc_AS",0.0367309125354937
"50","Acc_Heat",1,1.99336647305896,1.70371384909735,1.17001248426493,0.854691734873457,0.973911774152394,0.973911774152394,"M25","AS","Acc_Heat_AS",0.026088225847606
"51","Heat_Cold",1,1.95523744871146,1.66635989018745,1.17335844449035,0.85225448770205,0.973437297293642,0.973437297293642,"M25","AS","Heat_Cold_AS",0.0265627027063575
"52","Cold_Diet",1,1.99220055790601,1.70043894938101,1.17158017265554,0.853548074079615,0.973689298000476,0.973689298000476,"M25","AS","Cold_Diet_AS",0.0263107019995237
"53","Day_Acc1",1,1.99528680333608,1.77930482988349,1.1213855938708,0.891753920743891,0.980949370714269,0.980949370714269,"M3","AS","Day_Acc_AS",0.0190506292857312
